reference_number,watch_URL,type,brand,year_introduced,parent_model,specific_model,nickname,marketing_name,style,currency,price,image_URL,made_in,case_shape,case_material,case_finish,caseback,diameter,between_lugs,lug_to_lug,case_thickness,bezel_material,bezel_color,crystal,water_resistance,weight,dial_color,numerals,bracelet_material,bracelet_color,clasp_type,movement,caliber,power_reserve,frequency,jewels,features,description,short_description
J030033240,https://www.jaquet-droz.com/en/watches/sw/tourbillon-sw,,Jaquet Droz,,SW,Tourbillon SW,,,,,,https://www.jaquet-droz.com/sites/default/files/styles/cart_product_image/public/J030033240_TOURBILLON_SW.jpg?itok=CEGLxMHe,,,"18-carat red gold
Height 13.23 mm
Individual series number relief-engraved on the case-back",,,"18-carat red gold
Height 13.23 mm
Individual series number relief-engraved on the case-back",,,"18-carat red gold
Height 13.23 mm
Individual series number relief-engraved on the case-back",,,,To 5 bar (50 meters),,"Black with rubber treatment
Applied 18-carat red gold ring and plates",,Rolled-edge hand made inserted black alligator leather strap with black stitching,Rolled-edge hand made inserted black alligator leather strap with black stitching,18-carat red gold folding clasp with black PVD finish,"Jaquet Droz 25JD-S, self-winding tourbillon movement, simple barrel, 18-carat white gold oscillating weight with black PVD finish
","Jaquet Droz 25JD-S, self-winding tourbillon movement, simple barrel, 18-carat white gold oscillating weight with black PVD finish
",7 days,"21,600 v.p.h",31 jewels,"Hours and minutes at 6 o'clock
Tourbillon frame and seconds bridge with white Super-Luminova tip at 12 o'clock","Black dial with rubber treatment.
18-carat red gold case.
Self-winding tourbillon movement.
Power reserve of 7 days.
Hours and minutes indicators at 6 o'clock,
tourbillon frame and seconds bridge
at 12 o'clock.
Diameter 45 mm.",
J013523242,https://www.jaquet-droz.com/en/watches/grande-seconde/grande-seconde-skelet-one-tourbillon-j013523242,,Jaquet Droz,,GRANDE SECONDE,Tourbillon Skelet,,,,,,https://www.jaquet-droz.com/sites/default/files/styles/cart_product_image/public/Jaquet-Droz_Grande-Seconde-Skelet-one-Tourbillon_J013523242_Front.jpg?itok=wJ_MgaGb,,,18-karat red gold case. Diameter 41 mm. Height 13.36 mm. ,,,18-karat red gold case. Diameter 41 mm. Height 13.36 mm. ,,,18-karat red gold case. Diameter 41 mm. Height 13.36 mm. ,,,,To 3 bar (30 meters),,Sapphire dial. Metallic sapphire base. Indexes and dial fixing screws in 18-karat red gold. ,,Rolled-edge hand-made black alligator,Rolled-edge hand-made black alligator,18-karat red gold folding clasp,"Jaquet Droz 2625SQ, self-winding skeleton tourbillon movement, black treatment, silicon balance spring and pallet horns, titanium tourbillon frame, single barrel, 18-karat red gold oscillating weight. Individual serial number engraved on the oscillating weight. ","Jaquet Droz 2625SQ, self-winding skeleton tourbillon movement, black treatment, silicon balance spring and pallet horns, titanium tourbillon frame, single barrel, 18-karat red gold oscillating weight. Individual serial number engraved on the oscillating weight. ",7 days,"21,600 v.p.h.",30 jewels,Off-centered hours and minutes at 6 o'clock. Tourbillon frame and off-centered seconds at 12 o’clock. ,"Sapphire dial with metallic sapphire base. 
18-karat red gold case. 
Self-winding skeleton tourbillon movement. 
Power reserve of 7 days. 
Diameter 41 mm.",
J0135240021,https://www.jaquet-droz.com/en/watches/grande-seconde/tourbillon-skelet-skull-j0135240021,,Jaquet Droz,,GRANDE SECONDE,Tourbillon Skelet,,,,,,https://www.jaquet-droz.com/sites/default/files/styles/cart_product_image/public/Jaquet%20Droz_Tourbillon-Skelet_J0135240021_Front.jpg?itok=mDG5t8yV,,,18-karat white gold case. Diameter 41 mm. Height 13.36 mm. ,,,18-karat white gold case. Diameter 41 mm. Height 13.36 mm. ,,,18-karat white gold case. Diameter 41 mm. Height 13.36 mm. ,,,,To 3 bar (30 meters),,Sapphire dial and blue sapphire base. Indexes and dial fixing axes in 18-karat white gold. ,,Rubber strap,Rubber strap,18-karat white gold folding clasp,"Jaquet Droz 2625SQ, self-winding skeleton tourbillon movement, black treatment, silicon balance spring and pallet horns, titanium tourbillon frame, single barrel, 18-karat white gold oscillating weight. Customized engraving on the oscillating weight. ","Jaquet Droz 2625SQ, self-winding skeleton tourbillon movement, black treatment, silicon balance spring and pallet horns, titanium tourbillon frame, single barrel, 18-karat white gold oscillating weight. Customized engraving on the oscillating weight. ",7 days,"21,600 v.p.h.",30 jewels,Off-centered hours and minutes at 6 o'clock. Tourbillon frame and off-centered seconds at 12 o’clock. ,"Transparent sapphire dial and blue sapphire base. 
18-karat white gold case. 
Self-winding skeleton tourbillon movement. 
Power reserve of 7 days. 
Diameter 41 mm.",
J0135230011,https://www.jaquet-droz.com/en/watches/grande-seconde/tourbillon-skelet-skull-j0135230011,,Jaquet Droz,,GRANDE SECONDE,Tourbillon Skelet Skull,,,,,,https://www.jaquet-droz.com/sites/default/files/styles/cart_product_image/public/Jaquet-Droz_Tourbillon-Skelet-Skull_J0135230011_Front.jpg?itok=NbzNtaPj,,,18-karat red gold case. Diameter 41 mm. Height 13.36 mm. ,,,18-karat red gold case. Diameter 41 mm. Height 13.36 mm. ,,,18-karat red gold case. Diameter 41 mm. Height 13.36 mm. ,,,,To 3 bar (30 meters),,Hand-engraved and hand-painted 18-karat gold dial. Dial fixing axes in 18-karat red gold. ,,Rubber strap,Rubber strap,18-karat red gold folding clasp,"Jaquet Droz 2625SQ, self-winding skeleton tourbillon movement, gray treatment, silicon balance spring and pallet horns, titanium tourbillon frame, single barrel, 18-karat red gold oscillating weight. Customized engraving on the oscillating weight. ","Jaquet Droz 2625SQ, self-winding skeleton tourbillon movement, gray treatment, silicon balance spring and pallet horns, titanium tourbillon frame, single barrel, 18-karat red gold oscillating weight. Customized engraving on the oscillating weight. ",7 days,"21,600 v.p.h.",30 jewels,Off-centered hours and minutes at 6 o'clock. Tourbillon frame and off-centered seconds at 12 o’clock. ,"Hand-engraved and hand-painted 18-karat gold dial. 
18-karat red gold case. 
Self-winding skeleton tourbillon movement. 
Power reserve of 7 days. 
Diameter 41 mm.",
J0135270221,https://www.jaquet-droz.com/en/watches/grande-seconde/tourbillon-skelet-skull-j0135270221,,Jaquet Droz,,GRANDE SECONDE,Tourbillon Skelet Skull,,,,,,https://www.jaquet-droz.com/sites/default/files/styles/cart_product_image/public/Jaquet%20Droz_Tourbillon-Skelet-Skull_J0135270221_Front.jpg?itok=vWVshkbb,,,"Sapphire case. 18-karat white gold tubes and bar inserts, 18-karat white gold crown. Diameter 42 mm. Height 13.76 mm. ",,,"Sapphire case. 18-karat white gold tubes and bar inserts, 18-karat white gold crown. Diameter 42 mm. Height 13.76 mm. ",,,"Sapphire case. 18-karat white gold tubes and bar inserts, 18-karat white gold crown. Diameter 42 mm. Height 13.76 mm. ",,,,To 3 bar (30 meters),,"18-karat white gold dial, hand-engraved. Dial fixing screws in 18-karat white gold. ",,Rubber strap,Rubber strap,Stainless steel and plasma ceramic folding clasp,"Jaquet Droz 2625SQ, self-winding skeleton tourbillon movement, black treatment, silicon balance spring and pallet horns, titanium tourbillon frame, single barrel, 18-karat white gold oscillating weight. Customized engraving on the oscillating weight. ","Jaquet Droz 2625SQ, self-winding skeleton tourbillon movement, black treatment, silicon balance spring and pallet horns, titanium tourbillon frame, single barrel, 18-karat white gold oscillating weight. Customized engraving on the oscillating weight. ",7 days,"21,600 v.p.h.",30 jewels,Off-centered hours and minutes at 6 o'clock. Tourbillon frame and off-centered seconds at 12 o’clock. ,"18-karat white gold dial, hand-engraved. 
Sapphire case. 
Self-winding skeleton tourbillon movement. 
Power reserve of 7 days. 
Diameter 42 mm.",
J0135250101,https://www.jaquet-droz.com/en/watches/grande-seconde/tourbillon-skelet-skull-j0135250101,,Jaquet Droz,,GRANDE SECONDE,Tourbillon Skelet Ceramic - Skull Pointillism,,,,,,https://www.jaquet-droz.com/sites/default/files/styles/cart_product_image/public/Jaquet-Droz_Tourbillon-Skelet-Skull_J0135250101_Front.jpg?itok=YxPqA_uq,,,Black ceramic case. Diameter 42.30 mm. Height 12.41 mm. ,,,Black ceramic case. Diameter 42.30 mm. Height 12.41 mm. ,,,Black ceramic case. Diameter 42.30 mm. Height 12.41 mm. ,,,,To 3 bar (30 meters),,Hand-engraved and hand-painted 18-karat gold dial. Dial fixing screws in 18-karat white gold. ,,Rubber strap,Rubber strap,Ceramic folding clasp with black treatment,"Jaquet Droz 2625SQ, self-winding skeleton tourbillon movement, black treatment, silicon balance spring and pallet horns, titanium tourbillon frame, single barrel, 18-karat white gold oscillating weight with black treatment. Customized engraving on the oscillating weight. ","Jaquet Droz 2625SQ, self-winding skeleton tourbillon movement, black treatment, silicon balance spring and pallet horns, titanium tourbillon frame, single barrel, 18-karat white gold oscillating weight with black treatment. Customized engraving on the oscillating weight. ",7 days,"21,600 v.p.h.",30 jewels,Off-centered hours and minutes at 6 o'clock. Tourbillon frame and off-centered seconds at 12 o’clock. ,"Hand-engraved and hand-painted 18-karat gold dial. 
Black ceramic case. 
Self-winding skeleton tourbillon movement. 
Power reserve of 7 days. 
Diameter 42.30 mm.",
J0135250061,https://www.jaquet-droz.com/en/watches/grande-seconde/tourbillon-skelet-ceramic-j0135250061,,Jaquet Droz,,GRANDE SECONDE,Tourbillon Skelet Ceramic,,,,,,https://www.jaquet-droz.com/sites/default/files/styles/cart_product_image/public/Jaquet-Droz_Tourbillon-Skelet-Ceramic_J0135250061_Front.jpg?itok=OkgvmJuG,,,Black ceramic case. Black ceramic crown and 18-karat white gold tube. Diameter 42.30 mm. Height 12.41 mm. ,,,Black ceramic case. Black ceramic crown and 18-karat white gold tube. Diameter 42.30 mm. Height 12.41 mm. ,,,Black ceramic case. Black ceramic crown and 18-karat white gold tube. Diameter 42.30 mm. Height 12.41 mm. ,,,,To 3 bar (30 meters),,"Sapphire dial and light metallic sapphire base. 18-karat white gold indexes, 18-karat white gold dial fixing axes. ",,Rubber strap,Rubber strap,Ceramic folding clasp with black treatment,"Jaquet Droz 2625SQ, self-winding skeleton tourbillon movement, gray treatment, silicon balance spring and pallet horns, titanium tourbillon frame, single barrel, 18-karat white gold oscillating weight. Customized engraving on the oscillating weight. ","Jaquet Droz 2625SQ, self-winding skeleton tourbillon movement, gray treatment, silicon balance spring and pallet horns, titanium tourbillon frame, single barrel, 18-karat white gold oscillating weight. Customized engraving on the oscillating weight. ",7 days,"21,600 v.p.h.",30 jewels,Off-centered hours and minutes at 6 o'clock. Tourbillon frame and off-centered seconds at 12 o’clock. ,"Sapphire dial and light metallic sapphire base. 
Black ceramic case. 
Self-winding skeleton tourbillon movement. 
Power reserve of 7 days. 
Diameter 42.30 mm.",
J0135250071,https://www.jaquet-droz.com/en/watches/grande-seconde/tourbillon-skelet-ceramic-j0135250071,,Jaquet Droz,,GRANDE SECONDE,Tourbillon Skelet Ceramic,,,,,,https://www.jaquet-droz.com/sites/default/files/styles/cart_product_image/public/Jaquet-Droz_Tourbillon-Skelet-Ceramic_J0135250071_Front.jpg?itok=JyZtd8UX,,,Black ceramic case. 18-karat red gold crown and tube. Diameter 42.30 mm. ,,,Black ceramic case. 18-karat red gold crown and tube. Diameter 42.30 mm. ,,,Black ceramic case. 18-karat red gold crown and tube. Diameter 42.30 mm. ,,,,To 3 bar (30 meters),,"Transparent sapphire dial and light metallic sapphire base. 18-karat red gold indexes, 18-karat red gold dial fixing axes. ",,Rubber strap,Rubber strap,Ceramic folding clasp with black treatment,"Jaquet Droz 2625SQ, self-winding skeleton tourbillon movement, gray treatment, silicon balance spring and pallet horns, titanium tourbillon frame, single barrel, 18-karat red gold oscillating weight. Customized engraving on the oscillating weight. ","Jaquet Droz 2625SQ, self-winding skeleton tourbillon movement, gray treatment, silicon balance spring and pallet horns, titanium tourbillon frame, single barrel, 18-karat red gold oscillating weight. Customized engraving on the oscillating weight. ",7 days,"21,600 v.p.h.",30 jewels,Off-centered hours and minutes at 6 o'clock. Tourbillon frame and off-centered seconds at 12 o’clock. ,"Transparent sapphire dial and light metallic sapphire base. 
Black ceramic case. 
Self-winding skeleton tourbillon movement. 
Power reserve of 7 days. 
Diameter 42.30 mm.",
J0135250081,https://www.jaquet-droz.com/en/watches/grande-seconde/tourbillon-skelet-ceramic-j0135250081,,Jaquet Droz,,GRANDE SECONDE,Tourbillon Skelet Ceramic,,,,,,https://www.jaquet-droz.com/sites/default/files/styles/cart_product_image/public/Jaquet-Droz_Tourbillon-Skelet-Ceramic_J0135250081_Front.jpg?itok=9lpmWhNP,,,Black ceramic case. Black ceramic crown and 18-karat white gold tube. Diameter 42.30 mm. Height 12.41 mm. ,,,Black ceramic case. Black ceramic crown and 18-karat white gold tube. Diameter 42.30 mm. Height 12.41 mm. ,,,Black ceramic case. Black ceramic crown and 18-karat white gold tube. Diameter 42.30 mm. Height 12.41 mm. ,,,,To 3 bar (30 meters),,"Sapphire dial and light metallic sapphire base. 18-karat white gold indexes with black treatment, 18-karat white gold dial fixing axes. ",,Rubber strap,Rubber strap,Ceramic folding clasp with black treatment,"Jaquet Droz 2625SQ, self-winding skeleton tourbillon movement, gray treatment, silicon balance spring and pallet horns, titanium tourbillon frame, single barrel, 18-karat white gold oscillating weight. Customized engraving on the oscillating weight. ","Jaquet Droz 2625SQ, self-winding skeleton tourbillon movement, gray treatment, silicon balance spring and pallet horns, titanium tourbillon frame, single barrel, 18-karat white gold oscillating weight. Customized engraving on the oscillating weight. ",7 days,"21,600 v.p.h.",30 jewels,Off-centered hours and minutes at 6 o'clock. Tourbillon frame and off-centered seconds at 12 o’clock. ,"Sapphire dial and light metallic sapphire base. 
Black ceramic case. 
Self-winding skeleton tourbillon movement. 
Power reserve of 7 days. 
Diameter 42.30 mm.",
J0135250011,https://www.jaquet-droz.com/en/watches/grande-seconde/tourbillon-skelet-ceramic-j0135250011,,Jaquet Droz,,GRANDE SECONDE,Tourbillon Skelet Ceramic,,,,,,https://www.jaquet-droz.com/sites/default/files/styles/cart_product_image/public/Jaquet-Droz_Tourbillon-Skelet-Ceramic_J0135250011_Front.jpg?itok=t6pvZuT3,,,Black ceramic case. Black ceramic crown and 18-karat white gold tube. Diameter 42.30 mm. Height 12.41 mm. ,,,Black ceramic case. Black ceramic crown and 18-karat white gold tube. Diameter 42.30 mm. Height 12.41 mm. ,,,Black ceramic case. Black ceramic crown and 18-karat white gold tube. Diameter 42.30 mm. Height 12.41 mm. ,,,,To 3 bar (30 meters),,Sapphire dial and dark metallic sapphire base. Indexes and dial fixing axes in 18-karat white gold. ,,Rubber strap,Rubber strap,Ceramic folding clasp,"Jaquet Droz 2625SQ, self-winding skeleton tourbillon movement, black treatment, silicon balance spring and pallet horns, titanium tourbillon frame, single barrel, 18-karat white gold oscillating weight. Customized engraving on the oscillating weight. ","Jaquet Droz 2625SQ, self-winding skeleton tourbillon movement, black treatment, silicon balance spring and pallet horns, titanium tourbillon frame, single barrel, 18-karat white gold oscillating weight. Customized engraving on the oscillating weight. ",7 days,"21,600 v.p.h.",30 jewels,Off-centered hours and minutes at 6 o'clock. Tourbillon frame and off-centered seconds at 12 o’clock. ,"Sapphire dial and dark metallic sapphire base. 
Black ceramic case. 
Self-winding skeleton tourbillon movement. 
Power reserve of 7 days. 
Diameter 42.30 mm.",
J0135250091,https://www.jaquet-droz.com/en/watches/grande-seconde/tourbillon-skelet-ceramic-j0135250091,,Jaquet Droz,,GRANDE SECONDE,Tourbillon Skelet Ceramic,,,,,,https://www.jaquet-droz.com/sites/default/files/styles/cart_product_image/public/Jaquet%20Droz_Tourbillon-Skelet-Ceramic_J0135250091_Front.jpg?itok=GfQSdHnJ,,,Black ceramic case. Black ceramic crown and 18-karat white gold tube. Diameter 42.30 mm. Height 12.41 mm. ,,,Black ceramic case. Black ceramic crown and 18-karat white gold tube. Diameter 42.30 mm. Height 12.41 mm. ,,,Black ceramic case. Black ceramic crown and 18-karat white gold tube. Diameter 42.30 mm. Height 12.41 mm. ,,,,To 3 bar (30 meters),,Sapphire dial and light metallic sapphire base. Indexes and dial fixing axes in 18-karat white gold. ,,Rubber strap,Rubber strap,Ceramic folding clasp with black treatment,"Jaquet Droz 2625SQ, self-winding skeleton tourbillon movement, black treatment, silicon balance spring and pallet horns, titanium tourbillon frame, single barrel, 18-karat white gold oscillating weight. Customized engraving on the oscillating weight. ","Jaquet Droz 2625SQ, self-winding skeleton tourbillon movement, black treatment, silicon balance spring and pallet horns, titanium tourbillon frame, single barrel, 18-karat white gold oscillating weight. Customized engraving on the oscillating weight. ",7 days,"21,600 v.p.h.",30 jewels,Off-centered hours and minutes at 6 o'clock. Tourbillon frame and off-centered seconds at 12 o’clock. ,"Sapphire dial and light metallic sapphire base. 
Black ceramic case. 
Self-winding skeleton tourbillon movement. 
Power reserve of 7 days. 
Diameter 42.30 mm.",
J0135270021,https://www.jaquet-droz.com/en/watches/grande-seconde/tourbillon-skelet-sapphire-j0135270021,,Jaquet Droz,,GRANDE SECONDE,Tourbillon Skelet Sapphire,,,,,,https://www.jaquet-droz.com/sites/default/files/styles/cart_product_image/public/Jaquet-Droz_Tourbillon-Skelet-Sapphire_J0135270021_Front.jpg?itok=aiagy428,,,"Sapphire case. 18-karat white gold tubes and bar inserts, 18-karat white gold crown. Diameter 42 mm. Height 13.76 mm. ",,,"Sapphire case. 18-karat white gold tubes and bar inserts, 18-karat white gold crown. Diameter 42 mm. Height 13.76 mm. ",,,"Sapphire case. 18-karat white gold tubes and bar inserts, 18-karat white gold crown. Diameter 42 mm. Height 13.76 mm. ",,,,To 3 bar (30 meters),,"Sapphire dial and base. 18-karat white gold indexes with black treatment, 18-karat white gold dial fixing axes. ",,Alligator strap,Alligator strap,Stainless steel and plasma ceramic folding clasp,"Jaquet Droz 2625SQ, self-winding skeleton tourbillon movement, gray treatment, silicon balance spring and pallet horns, titanium tourbillon frame, single barrel, 18-karat white gold oscillating weight with black treatment. Customized engraving on the oscillating weight. ","Jaquet Droz 2625SQ, self-winding skeleton tourbillon movement, gray treatment, silicon balance spring and pallet horns, titanium tourbillon frame, single barrel, 18-karat white gold oscillating weight with black treatment. Customized engraving on the oscillating weight. ",7 days,"21,600 v.p.h.",30 jewels,Off-centered hours and minutes at 6 o'clock. Tourbillon frame and off-centered seconds at 12 o’clock. ,"Sapphire dial and base. 
Sapphire case. 
Self-winding skeleton tourbillon movement. 
Power reserve of 7 days. 
Diameter 42 mm.",
J0135270231,https://www.jaquet-droz.com/en/watches/grande-seconde/tourbillon-skelet-sapphire-j0135270231,,Jaquet Droz,,GRANDE SECONDE,Tourbillon Skelet Sapphire,,,,,,https://www.jaquet-droz.com/sites/default/files/styles/cart_product_image/public/Jaquet%20Droz_Tourbillon-Skelet-Sapphire_J0135270231_Front.jpg?itok=ORK2XGaE,,,"Sapphire case. 18-karat white gold tube and bar inserts, black ceramic crown. Diameter 42 mm. Height 13.76 mm. ",,,"Sapphire case. 18-karat white gold tube and bar inserts, black ceramic crown. Diameter 42 mm. Height 13.76 mm. ",,,"Sapphire case. 18-karat white gold tube and bar inserts, black ceramic crown. Diameter 42 mm. Height 13.76 mm. ",,,,To 3 bar (30 meters),,Transparent sapphire dial and green sapphire base. Indexes and dial fixing axes in 18-karat white gold with black treatment. ,,Rubber strap,Rubber strap,Stainless steel and plasma ceramic folding clasp,"Jaquet Droz 2625SQ, self-winding skeleton tourbillon movement, black treatment, silicon balance spring and pallet horns, titanium tourbillon frame, single barrel, 18-karat white gold oscillating weight with black treatment. Customized engraving on the oscillating weight. ","Jaquet Droz 2625SQ, self-winding skeleton tourbillon movement, black treatment, silicon balance spring and pallet horns, titanium tourbillon frame, single barrel, 18-karat white gold oscillating weight with black treatment. Customized engraving on the oscillating weight. ",7 days,"21,600 v.p.h.",30 jewels,Off-centered hours and minutes at 6 o'clock. Tourbillon frame and off-centered seconds at 12 o’clock. ,"Transparent sapphire dial and green sapphire base. 
Sapphire case. 
Self-winding skeleton tourbillon movement. 
Power reserve of 7 days. 
Diameter 42 mm.",
J0135270011,https://www.jaquet-droz.com/en/watches/grande-seconde/tourbillon-skelet-sapphire-j0135270011,,Jaquet Droz,,GRANDE SECONDE,Tourbillon Skelet Sapphire,,,,,,https://www.jaquet-droz.com/sites/default/files/styles/cart_product_image/public/Jaquet-Droz_Tourbillon-Skelet-Sapphire_J0135270011_Front.jpg?itok=fx5mF0Bv,,,Sapphire case. 18-karat red gold crown and tube. Diameter 42 mm. Height 13.76 mm. ,,,Sapphire case. 18-karat red gold crown and tube. Diameter 42 mm. Height 13.76 mm. ,,,Sapphire case. 18-karat red gold crown and tube. Diameter 42 mm. Height 13.76 mm. ,,,,To 3 bar (30 meters),,Sapphire dial. Transparent opal base. Indexes and dial fixing axes in 18-karat red gold. ,,Rubber strap,Rubber strap,Stainless steel and plasma ceramic folding clasp,"Jaquet Droz 2625SQ, self-winding skeleton tourbillon movement, gray treatment, silicon balance spring and pallet horns, titanium tourbillon frame, single barrel, 18-karat red gold oscillating weight. Customized engraving on the oscillating weight. ","Jaquet Droz 2625SQ, self-winding skeleton tourbillon movement, gray treatment, silicon balance spring and pallet horns, titanium tourbillon frame, single barrel, 18-karat red gold oscillating weight. Customized engraving on the oscillating weight. ",7 days,"21,600 v.p.h.",30 jewels,Off-centered hours and minutes at 6 o'clock. Tourbillon frame and off-centered seconds at 12 o’clock. ,"Sapphire dial with a transparent opal base. 
Sapphire case. 
Self-winding skeleton tourbillon movement. 
Power reserve of 7 days. 
Diameter 42 mm.",
J0135270031,https://www.jaquet-droz.com/en/watches/grande-seconde/tourbillon-skelet-sapphire-j0135270031,,Jaquet Droz,,GRANDE SECONDE,Tourbillon Skelet Sapphire,,,,,,https://www.jaquet-droz.com/sites/default/files/styles/cart_product_image/public/Jaquet-Droz_Tourbillon-Skelet-Sapphire_J0135270031_Front.jpg?itok=b1UNm8C2,,,"Sapphire case. 18-karat white gold tube and bar inserts, black ceramic crown. Diameter 42 mm. Height 13.76 mm. ",,,"Sapphire case. 18-karat white gold tube and bar inserts, black ceramic crown. Diameter 42 mm. Height 13.76 mm. ",,,"Sapphire case. 18-karat white gold tube and bar inserts, black ceramic crown. Diameter 42 mm. Height 13.76 mm. ",,,,To 3 bar (30 meters),,"Transparent sapphire dial and yellow sapphire base. 18-karat white gold indexes with black treatment, 18-karat white gold dial fixing axes. ",,Rubber strap,Rubber strap,Stainless steel and plasma ceramic folding clasp,"Jaquet Droz 2625SQ, self-winding skeleton tourbillon movement, gray treatment, silicon balance spring and pallet horns, titanium tourbillon frame, single barrel, 18-karat white gold oscillating weight with black treatment. Customized engraving on the oscillating weight. ","Jaquet Droz 2625SQ, self-winding skeleton tourbillon movement, gray treatment, silicon balance spring and pallet horns, titanium tourbillon frame, single barrel, 18-karat white gold oscillating weight with black treatment. Customized engraving on the oscillating weight. ",7 days,"21,600 v.p.h.",30 jewels,Off-centered hours and minutes at 6 o'clock. Tourbillon frame and off-centered seconds at 12 o’clock. ,"Transparent sapphire dial and yellow sapphire base. 
Sapphire case. 
Self-winding skeleton tourbillon movement. 
Power reserve of 7 days. 
Diameter 42 mm.",
J0135270061,https://www.jaquet-droz.com/en/watches/grande-seconde/tourbillon-skelet-sapphire-j0135270061,,Jaquet Droz,,GRANDE SECONDE,Tourbillon Skelet Sapphire,,,,,,https://www.jaquet-droz.com/sites/default/files/styles/cart_product_image/public/Jaquet-Droz_Tourbillon-Skelet-Sapphire_J0135270061_Front.jpg?itok=f5eaMAD7,,,"Sapphire case. 18-karat white gold tube and bar inserts, black ceramic crown. Diameter 42 mm. Height 13.76 mm. ",,,"Sapphire case. 18-karat white gold tube and bar inserts, black ceramic crown. Diameter 42 mm. Height 13.76 mm. ",,,"Sapphire case. 18-karat white gold tube and bar inserts, black ceramic crown. Diameter 42 mm. Height 13.76 mm. ",,,,To 3 bar (30 meters),,Transparent sapphire dial and blue sapphire base. Indexes and dial fixing axes in 18-karat white gold with black treatment. ,,Rubber strap,Rubber strap,Stainless steel and plasma ceramic folding clasp,"Jaquet Droz 2625SQ, self-winding skeleton tourbillon movement, gray treatment, silicon balance spring and pallet horns, titanium tourbillon frame, single barrel, 18-karat white gold oscillating weight with black treatment","Jaquet Droz 2625SQ, self-winding skeleton tourbillon movement, gray treatment, silicon balance spring and pallet horns, titanium tourbillon frame, single barrel, 18-karat white gold oscillating weight with black treatment",7 days,"21,600 v.p.h.",30 jewels,Off-centered hours and minutes at 6 o'clock. Tourbillon frame and off-centered seconds at 12 o’clock. ,"Transparent sapphire dial and blue sapphire base. 
Sapphire case. 
Self-winding skeleton tourbillon movement. 
Power reserve of 7 days. 
Diameter 42 mm. Customized engraving on the oscillating weight.",
J011033202,https://www.jaquet-droz.com/en/watches/grande-seconde/grande-seconde-minute-repeater,,Jaquet Droz,,GRANDE SECONDE,Minute Repeater,,,,,,https://www.jaquet-droz.com/sites/default/files/styles/cart_product_image/public/J011033202_GRANDE-SECONDE-MINUTE-REPEATER_0.jpg?itok=vwxAR9Ho,,,"18-carat red gold
Height 13.20 mm
Individual limited series number engraved on the case-back",,,"18-carat red gold
Height 13.20 mm
Individual limited series number engraved on the case-back",,,"18-carat red gold
Height 13.20 mm
Individual limited series number engraved on the case-back",,,,,,"Ivory Grand Feu enameled dial
18-carat red gold applique
Individual limited series number indicated on the dial",,Rolled-edge hand-made black alligator leather strap,Rolled-edge hand-made black alligator leather strap,18-carat red gold folding clasp,"Jaquet Droz 2635, minute repeater self-winding mechanical movement, 22-carat red gold oscillating weight
","Jaquet Droz 2635, minute repeater self-winding mechanical movement, 22-carat red gold oscillating weight
",40 hours,"21,600 v.p.h",39 jewels,"Off-centered hours and minutes, large seconds subdial","Ivory Grand Feu enameled dial.
18-carat red gold case and applique.
Minute repeater self-winding mechanical
movement.
Power reserve of 40 hours.
Diameter 43 mm.
Numerus Clausus of 28.",
J013033200,https://www.jaquet-droz.com/en/watches/grande-seconde/grande-seconde-tourbillon-ivory-enamel-0,,Jaquet Droz,,GRANDE SECONDE,Tourbillon Ivory Enamel,,,,,,https://www.jaquet-droz.com/sites/default/files/styles/cart_product_image/public/J013033200_TOURBILLON_IVORY_ENAMEL.png?itok=78G7uXFD,,,"18-carat red gold
Height 13.10 mm
Individual series number engraved on the case-back",,,"18-carat red gold
Height 13.10 mm
Individual series number engraved on the case-back",,,"18-carat red gold
Height 13.10 mm
Individual series number engraved on the case-back",,,,To 3 bar (30 meters),,Ivory Grand Feu enameled dial,,Rolled-edge hand-made black alligator leather strap,Rolled-edge hand-made black alligator leather strap,18-carat red gold folding clasp,"Jaquet Droz 25JD, self-winding tourbillon movement, simple barrel, 18-carat red gold oscillating weight","Jaquet Droz 25JD, self-winding tourbillon movement, simple barrel, 18-carat red gold oscillating weight",7 days,"21,600 v.p.h",31 jewels,"Hours and minutes at 6 o'clock
Tourbillon frame and seconds at 12 o'clock","Ivory Grand Feu enameled dial.
18-carat red gold case.
Self-winding tourbillon movement.
Power reserve of 7 days.
Hours and minutes indicators at 6 o'clock,
tourbillon frame at 12 o'clock.
Diameter 43 mm.",
